code,name
311111,Dog and Cat Food Manufacturing
311119,Other Animal Food Manufacturing
311211,Flour Milling
311212,Rice Milling
311213,Malt Manufacturing
311221,Wet Corn Milling and Starch Manufacturing
311224,Soybean and Other Oilseed Processing
311225,Fats and Oils Refining and Blending
311230,Breakfast Cereal Manufacturing
311313,Beet Sugar Manufacturing
311314,Cane Sugar Manufacturing
311340,Nonchocolate Confectionery Manufacturing
311351,Chocolate and Confectionery Manufacturing from Cacao Beans
311352,Confectionery Manufacturing from Purchased Chocolate
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
311412,Frozen Specialty Food Manufacturing
311421,Fruit and Vegetable Canning
311422,Specialty Canning
311423,Dried and Dehydrated Food Manufacturing
311511,Fluid Milk Manufacturing
311512,Creamery Butter Manufacturing
311513,Cheese Manufacturing
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
311520,Ice Cream and Frozen Dessert Manufacturing
311611,Animal (except Poultry) Slaughtering
311612,Meat Processed from Carcasses
311613,Rendering and Meat Byproduct Processing
311615,Poultry Processing
311710,Seafood Product Preparation and Packaging
311811,Retail Bakeries
311812,Commercial Bakeries
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
311821,Cookie and Cracker Manufacturing
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
311830,Tortilla Manufacturing
311911,Roasted Nuts and Peanut Butter Manufacturing
311919,Other Snack Food Manufacturing
311920,Coffee and Tea Manufacturing
311930,Flavoring Syrup and Concentrate Manufacturing
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
311942,Spice and Extract Manufacturing
311991,Perishable Prepared Food Manufacturing
311999,All Other Miscellaneous Food Manufacturing
312111,Soft Drink Manufacturing
312112,Bottled Water Manufacturing
312113,Ice Manufacturing
312120,Breweries
312130,Wineries
312140,Distilleries
312230,Tobacco Manufacturing
313110,"Fiber, Yarn, and Thread Mills"
313210,Broadwoven Fabric Mills
313220,Narrow Fabric Mills and Schiffli Machine Embroidery
313230,Nonwoven Fabric Mills
313240,Knit Fabric Mills
313310,Textile and Fabric Finishing Mills
313320,Fabric Coating Mills
314110,Carpet and Rug Mills
314120,Curtain and Linen Mills
314910,Textile Bag and Canvas Mills
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
314999,All Other Miscellaneous Textile Product Mills
315120,Apparel Knitting Mills
315210,Cut and Sew Apparel Contractors
315250,Cut and Sew Apparel Manufacturing (except Contractors)
315990,Apparel Accessories and Other Apparel Manufacturing
316110,Leather and Hide Tanning and Finishing
316210,Footwear Manufacturing
